idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
1,1,4,1,1,,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,2024-12-31
2,2,4,2,2,6.75,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,2024-12-31
3,3,4,3,3,,lorem quisque ut erat curabitur gravida nisi at nibh in,2024-12-31
4,4,4,4,4,,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2024-12-31
5,1,4,5,1,7.11,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,2024-12-31
6,2,4,6,2,2.45,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,2024-12-31
7,3,4,7,3,6.31,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,2024-12-31
8,4,4,8,4,3.59,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,2024-12-31
9,1,4,9,1,1.48,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,2024-12-31
10,2,4,10,2,5.39,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,2024-12-31
11,3,4,11,3,7.41,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,2024-12-31
12,4,4,12,4,4.3,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,2024-12-31
13,1,4,13,1,6.28,ante ipsum primis in faucibus orci luctus et ultrices posuere,2024-12-31
14,2,4,14,2,3.96,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,2024-12-31
15,3,4,15,3,6.45,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,2024-12-31
16,4,4,16,4,5.96,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,2024-12-31
17,1,4,17,1,6.03,eu mi nulla ac enim in tempor turpis nec euismod scelerisque,2024-12-31
18,2,4,18,2,4.15,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,2024-12-31
19,3,4,19,3,7.4,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,2024-12-31
20,4,4,20,4,6.71,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,2024-12-31
21,1,4,21,1,1.32,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,2024-12-31
22,2,4,22,2,7.16,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2024-12-31
23,3,4,23,3,2.91,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,2024-12-31
24,4,4,24,4,1.21,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31
25,1,4,25,1,8.49,nunc rhoncus dui vel sem sed sagittis nam congue risus,2024-12-31
26,2,4,26,2,7.31,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,2024-12-31
27,3,4,27,3,7.21,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,2024-12-31
28,4,4,28,4,9.98,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,2024-12-31
29,1,4,29,1,9.83,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,2024-12-31
30,2,4,30,2,3.48,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,2024-12-31
31,3,4,31,3,,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,2024-12-31
32,4,4,32,4,1.66,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2024-12-31
33,1,4,33,1,6.46,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,2024-12-31
34,2,4,34,2,4.82,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,2024-12-31
35,3,4,35,3,6.41,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,2024-12-31
36,4,4,36,4,3.63,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,2024-12-31
37,1,4,37,1,5.51,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,2024-12-31
38,2,4,38,2,6.9,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,2024-12-31
39,3,4,39,3,,at nulla suspendisse potenti cras in purus eu magna vulputate luctus,2024-12-31
40,4,4,40,4,,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,2024-12-31
41,1,4,41,1,8.7,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,2024-12-31
42,2,4,42,2,9.72,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,2024-12-31
43,3,4,43,3,6.16,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,2024-12-31
44,4,4,44,4,8.4,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2024-12-31
45,1,4,45,1,4.6,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-12-31
46,2,4,46,2,3.22,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2024-12-31
47,3,4,47,3,7.35,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,2024-12-31
48,4,4,48,4,7.63,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,2024-12-31
49,1,4,49,1,4.46,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2024-12-31
50,2,4,50,2,1.82,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,2024-12-31
51,3,4,51,3,2.91,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,2024-12-31
52,4,4,52,4,8.4,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,2024-12-31
53,1,4,53,1,6.82,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,2024-12-31
54,2,4,54,2,1.77,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,2024-12-31
55,3,4,55,3,,nulla sed accumsan felis ut at dolor quis odio consequat varius integer,2024-12-31
56,4,4,56,4,7.62,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,2024-12-31
57,1,4,57,1,3.19,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,2024-12-31
