idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
1,1,5,1,1,7.13,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,2025-02-27
2,2,5,2,2,,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,2025-02-25
3,3,5,3,3,5.43,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2025-02-22
4,4,5,4,4,8.02,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2025-02-21
5,1,5,5,1,2.76,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus,2025-02-09
6,2,5,6,2,4.3,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,2025-02-08
7,3,5,7,3,2.34,duis bibendum felis sed interdum venenatis turpis enim blandit mi in,2025-02-02
8,4,5,8,4,4.46,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,2025-02-16
9,1,5,9,1,5.25,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,2025-02-06
10,2,5,10,2,4.33,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2025-02-02
11,3,5,11,3,1.8,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,2025-02-16
12,4,5,12,4,3.04,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,2025-02-26
13,1,5,13,1,9.29,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2025-02-11
14,2,5,14,2,7.14,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,2025-02-18
15,3,5,15,3,8.93,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,2025-02-22
16,4,5,16,4,4.75,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,2025-02-23
17,1,5,17,1,2.84,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2025-02-27
18,2,5,18,2,6.89,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,2025-02-04
19,3,5,19,3,2.92,nulla tellus in sagittis dui vel nisl duis ac nibh,2025-02-19
20,4,5,20,4,,enim blandit mi in porttitor pede justo eu massa donec dapibus,2025-02-13
