idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
1,1,3,1,1,5.48,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-12-31
2,2,3,2,2,6.24,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-12-31
3,3,3,3,3,2.78,elementum in hac habitasse platea dictumst morbi vestibulum velit id,2024-12-31
4,4,3,4,4,3.7,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2024-12-31
5,1,3,5,1,1.09,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,2024-12-31
6,2,3,6,2,1.65,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,2024-12-31
7,3,3,7,3,9.5,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2024-12-31
8,4,3,8,4,,condimentum neque sapien placerat ante nulla justo aliquam quis turpis,2024-12-31
9,1,3,9,1,3.66,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,2024-12-31
10,2,3,10,2,4.24,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,2024-12-31
11,3,3,11,3,8.57,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,2024-12-31
12,4,3,12,4,9.3,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,2024-12-31
13,1,3,13,1,8.33,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-12-31
14,2,3,14,2,2.82,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2024-12-31
15,3,3,15,3,3.88,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,2024-12-31
16,4,3,16,4,5.46,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2024-12-31
17,1,3,17,1,7.96,duis mattis egestas metus aenean fermentum donec ut mauris eget,2024-12-31
18,2,3,18,2,2.94,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,2024-12-31
19,3,3,19,3,7.01,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,2024-12-31
20,4,3,20,4,1.33,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,2024-12-31
21,1,3,21,1,5.0,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,2024-12-31
22,2,3,22,2,4.27,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,2024-12-31
23,3,3,23,3,5.3,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2024-12-31
24,4,3,24,4,1.16,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,2024-12-31
25,1,3,25,1,3.51,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,2024-12-31
26,2,3,26,2,7.16,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,2024-12-31
