idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
1,1,2,1,1,6.72,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,2024-08-02
2,2,2,2,2,1.58,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,2024-10-05
3,3,2,3,3,3.87,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,2024-07-29
4,4,2,4,4,6.48,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,2024-10-17
5,1,2,5,1,2.57,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,2024-08-19
6,2,2,6,2,7.57,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,2024-09-16
7,3,2,7,3,7.09,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,2024-09-22
8,4,2,8,4,9.18,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,2024-11-14
9,1,2,9,1,3.93,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,2024-07-24
10,2,2,10,2,6.35,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,2024-08-27
11,3,2,11,3,3.04,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,2024-07-20
12,4,2,12,4,6.81,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,2024-09-01
13,1,2,13,1,9.06,cras in purus eu magna vulputate luctus cum sociis natoque penatibus,2024-09-08
14,2,2,14,2,1.76,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,2024-12-28
15,3,2,15,3,4.84,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,2024-09-16
16,4,2,16,4,3.83,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-11-30
17,1,2,17,1,2.6,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-11-29
18,2,2,18,2,2.3,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,2024-10-16
19,3,2,19,3,8.24,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2024-10-10
20,4,2,20,4,5.46,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,2024-12-10
21,1,2,21,1,8.56,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,2024-10-24
22,2,2,22,2,,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2024-09-13
23,3,2,23,3,4.83,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,2024-12-29
24,4,2,24,4,,amet lobortis sapien sapien non mi integer ac neque duis bibendum,2024-12-13
25,1,2,25,1,9.43,et tempus semper est quam pharetra magna ac consequat metus sapien ut,2024-07-22
26,2,2,26,2,2.85,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,2024-08-11
27,3,2,27,3,3.57,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2024-12-23
28,4,2,28,4,2.28,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,2024-12-25
29,1,2,29,1,7.51,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2024-10-14
30,2,2,30,2,9.55,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,2024-07-09
31,3,2,31,3,7.97,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,2024-12-18
32,4,2,32,4,,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2024-09-15
33,1,2,33,1,5.89,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,2024-09-09
34,2,2,34,2,2.16,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2024-07-16
35,3,2,35,3,3.02,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,2024-07-31
36,4,2,36,4,6.92,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,2024-09-24
37,1,2,37,1,8.7,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,2024-08-30
